   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
    106000   4713.8205      869.31061      270631.52      0.7318304     -206064.45     -209363.25      3298.7996    
    107000   4594.3107      41.946289      270060.7       0.73337725    -206191.26     -209406.42      3215.1649    
    108000   4577.0646     -2425.6203      269497.78      0.73490911    -206314.62     -209517.72      3203.0959    
    109000   4489.5462     -589.49463      268954.33      0.73639407    -206434.88     -209576.73      3141.8492    
    110000   4441.6284     -1278.2892      268454.79      0.73776436    -206552.01     -209660.32      3108.3157    
    111000   4283.5793     -2413.6085      267911.62      0.73926013    -206666.3      -209664.01      2997.7106    
    112000   4325.7744     -1930.5083      267351.6       0.74080865    -206777.68     -209804.92      3027.2393    
    113000   4264.447      -2044.2116      266826.74      0.74226584    -206885.79     -209870.12      2984.3215    
    114000   4159.3968     -794.32382      266279.31      0.74379185    -206990.89     -209901.7       2910.8059    
    115000   4155.2019     -1633.346       265729.86      0.74532978    -207093.01     -210000.88      2907.8702    
    116000   3999.7886     -3861.9014      265177.41      0.74688253    -207192.5      -209991.61      2799.1098    
    117000   4003.9471     -739.50136      264633.1       0.74841875    -207289.24     -210091.26      2802.02      
    118000   3914.8937     -2766.3928      264158.02      0.74976475    -207383.28     -210122.98      2739.6991    
    119000   3862.1114     -1530.5801      263657.08      0.7511893     -207474.75     -210177.51      2702.7613    
    120000   3875.6617     -172.33133      263194.03      0.75251089    -207563.97     -210276.21      2712.2439    
    121000   3798.7911     -2028.6734      262762.88      0.75374566    -207650.57     -210309.02      2658.4488    
    122000   3707.155      -540.47628      262364.76      0.7548894     -207734.51     -210328.83      2594.3206    
    123000   3729.0018     -4366.1345      261990.98      0.7559664     -207816.48     -210426.09      2609.6092    
    124000   3681.9351     -3548.6058      261597.54      0.75710337    -207896.1      -210472.77      2576.6713    
    125000   3648.9198     -1376.7784      261199.59      0.75825685    -207973.47     -210527.04      2553.5667    
    126000   3553.412      -3212.3089      260855.92      0.75925583    -208048.83     -210535.56      2486.729     
    127000   3532.3591      494.04349      260456.88      0.76041905    -208121.96     -210593.95      2471.9958    
    128000   3487.7183      2183.1303      260131.32      0.76137075    -208192.82     -210633.58      2440.7556    
    129000   3514.4358     -2582.3981      259856.13      0.76217703    -208261.72     -210721.17      2459.4528    
    130000   3420.0991      426.22104      259573.98      0.76300551    -208328.41     -210721.84      2393.4347    
    131000   3366.1895      1037.6452      259184.06      0.76415338    -208393.33     -210749.04      2355.708     
    132000   3277.1184     -4520.0848      258814.59      0.76524425    -208456.45     -210749.83      2293.3747    
    133000   3309.5017     -1502.565       258470.68      0.76626245    -208517.77     -210833.81      2316.0371    
    134000   3296.6874     -771.6285       258143.11      0.76723479    -208577.31     -210884.38      2307.0694    
    135000   3230.0046      548.07949      257725.55      0.76847786    -208635.12     -210895.53      2260.4038    
    136000   3202.2671      66.707277      257345.67      0.76961223    -208691.17     -210932.16      2240.9927    
    137000   3173.5503     -17.787166      256969.57      0.77073863    -208745.54     -210966.44      2220.8963    
    138000   3138.6644     -1318.3215      256622.65      0.77178056    -208798.22     -210994.7       2196.4826    
    139000   3127.2582     -2780.8468      256286.05      0.7727942     -208849.33     -211037.83      2188.5004    
    140000   3059.6322     -1497.9916      255894.04      0.77397808    -208898.66     -211039.83      2141.1748    
    141000   3066.5358     -1464.0467      255463.15      0.77528354    -208946.77     -211092.77      2146.006     
    142000   3018.1465     -599.53363      255084.85      0.77643332    -208992.87     -211105.01      2112.1425    
    143000   2986.1513      399.12272      254759.58      0.77742464    -209037.63     -211127.38      2089.7517    
    144000   2979.8693     -119.05468      254413.95      0.7784808     -209080.88     -211166.24      2085.3555    
    145000   2959.4535     -349.07694      254098.1       0.77944849    -209122.18     -211193.25      2071.0683    
    146000   2875.9085     -1071.3451      253819.68      0.78030345    -209162.07     -211174.67      2012.6023    
    147000   2821.9986     -3201.9305      253514.06      0.78124415    -209200.53     -211175.4       1974.8753    
    148000   2832.5729     -2521.0105      253190.55      0.78224237    -209237.54     -211219.82      1982.2753    
    149000   2803.9986     -60.860225      252883.33      0.78319268    -209273.09     -211235.37      1962.2787    
    150000   2822.943       323.36966      252652.63      0.78390783    -209307.31     -211282.84      1975.5362    
    151000   2794.1827     -407.75965      252408.16      0.78466708    -209340.05     -211295.46      1955.4093    
    152000   2749.5861     -24.992601      252198.61      0.78531907    -209371.38     -211295.58      1924.2       
    153000   2696.2475      550.73697      251937.28      0.78613365    -209401.43     -211288.3       1886.8729    
    154000   2722.4631     -1266.863       251734.03      0.7867684     -209430.02     -211335.24      1905.219     
    155000   2708.3617     -956.01991      251499.15      0.78750317    -209457.36     -211352.71      1895.3506    
    156000   2682.345      -922.71066      251281.5       0.78818527    -209483.21     -211360.35      1877.1437    
    157000   2731.7634      1056.2034      251029.74      0.78897573    -209507.91     -211419.63      1911.7275    
    158000   2669.4928      1788.1812      250799.88      0.78969886    -209531.15     -211399.3       1868.1496    
    159000   2642.7207     -2769.8912      250624.72      0.79025077    -209552.98     -211402.39      1849.4141    
    160000   2619.5621     -1264.6838      250392.41      0.79098395    -209573.72     -211406.92      1833.2074    
    161000   2626.864      -343.09352      250170.18      0.79168659    -209593.05     -211431.37      1838.3173    
    162000   2612.9916      185.7458       249938.54      0.79242032    -209610.95     -211439.56      1828.6092    
    163000   2588.3268      130.48886      249723.15      0.79310378    -209627.57     -211438.92      1811.3484    
    164000   2610.2841      240.60543      249512.47      0.79377344    -209643.1      -211469.81      1826.7145    
    165000   2628.9168     -2.9114708      249314.44      0.79440397    -209657.26     -211497.02      1839.7539    
    166000   2551.6191     -882.28482      249169.76      0.79486523    -209669.89     -211455.55      1785.6599    
    167000   2561.9773      172.15181      249047.37      0.79525585    -209681.38     -211474.29      1792.9087    
    168000   2594.4461      21.884711      248967.3       0.7955116     -209691.6      -211507.23      1815.6308    
    169000   2582.4764     -2858.8859      248883.34      0.79577995    -209700.33     -211507.58      1807.2542    
    170000   2593.7111     -29.025825      248772.81      0.79613352    -209707.88     -211523         1815.1165    
    171000   2558.2782     -3469.7617      248651.06      0.79652334    -209714.12     -211504.44      1790.32      
    172000   2550.6241      197.73665      248522.05      0.79693685    -209718.92     -211503.89      1784.9635    
    173000   2562.1753     -983.58372      248387.84      0.79736745    -209722.54     -211515.58      1793.0472    
    174000   2535.5397     -160.03088      248242.27      0.79783502    -209724.81     -211499.21      1774.4073    
    175000   2535.296       1209.891       248092.06      0.79831808    -209725.75     -211499.99      1774.2367    
    176000   2544.3063      78.141124      247968.19      0.79871688    -209725.32     -211505.87      1780.5422    
    177000   2554.9506     -1497.3587      247821.33      0.7991902     -209723.59     -211511.58      1787.9913    
    178000   2518.324       118.04154      247693.4       0.79960296    -209720.65     -211483.01      1762.3594    
    179000   2590.0305     -997.09638      247521.38      0.80015866    -209716.35     -211528.89      1812.5407    
    180000   2589.5008     -727.45741      247344.63      0.80073044    -209710.71     -211522.88      1812.17      
    181000   2553.4065      166.78769      247235.31      0.80108452    -209703.66     -211490.57      1786.9107    
    182000   2614.6025     -1431.3545      247131.15      0.80142215    -209695.49     -211525.23      1829.7365    
    183000   2556.5197     -452.54286      247046.24      0.8016976     -209685.81     -211474.9       1789.0893    
    184000   2556.4491     -72.291339      246965.56      0.80195948    -209675.04     -211464.08      1789.04      
    185000   2617.9719      303.74524      246975.99      0.80192561    -209663.09     -211495.18      1832.0945    
    186000   2628.3918     -2376.9149      247011.34      0.80181085    -209649.75     -211489.14      1839.3865    
    187000   2609.08       -2987.3684      247013.88      0.80180263    -209635.24     -211461.12      1825.8718    
    188000   2637.2561     -487.08214      247028.03      0.80175668    -209619.69     -211465.28      1845.5899    
    189000   2668.7498      1781.1476      247043.73      0.80170575    -209602.88     -211470.51      1867.6296    
    190000   2668.0875     -1157.8641      247107.46      0.80149899    -209585.02     -211452.18      1867.1661    
    191000   2687.9675     -1456.3774      247120.82      0.80145566    -209566.19     -211447.27      1881.0784    
    192000   2688.7163     -1563.1648      247152.08      0.80135427    -209546.11     -211427.72      1881.6024    
    193000   2693.3693     -725.45585      247157.64      0.80133625    -209525.34     -211410.2       1884.8587    
    194000   2716.0868      2063.7701      247165.25      0.80131157    -209503.53     -211404.29      1900.7567    
    195000   2766.9238      1023.2372      247241.54      0.80106431    -209480.9      -211417.23      1936.3332    
