#VDH_NBS 
 4940  atoms
 4  atom types
 -2.0 45.666300  xlo xhi 
 -2.0 45.666300  ylo yhi 
 -2.0 45.666300  zlo zhi 
 Masses 
 
 1  22.98900 
 2  10.81100 
 3  28.08550 
 4  15.99940 

 Atoms

    154      1 0.4725000000 17.2783000000  13.3029000000  28.6727700000 
    155      1 0.4725000000 33.3066300000  20.1818700000  15.6538200000 
    156      1 0.4725000000 8.5928000000  7.4488300000  23.2982200000 
    157      1 0.4725000000 25.5212100000  40.9572800000  37.8112800000 
    158      1 0.4725000000 5.4555900000  15.0663600000  13.3544200000 
    159      1 0.4725000000 15.6015800000  4.5884200000  2.2352000000 
    160      1 0.4725000000 42.2651200000  27.3216400000  4.9898200000 
    161      1 0.4725000000 0.6763400000  29.4895100000  15.8937500000 
    162      1 0.4725000000 13.5879500000  34.9678900000  10.3966700000 
    163      1 0.4725000000 8.0961000000  14.9206200000  3.6792300000 
    164      1 0.4725000000 24.9155800000  21.1641400000  21.1700200000 
    165      1 0.4725000000 40.6982800000  1.7217600000  33.4896600000 
    166      1 0.4725000000 14.9398400000  20.7639400000  12.7327700000 
    167      1 0.4725000000 6.9169800000  40.7173600000  35.2211400000 
    168      1 0.4725000000 29.9732000000  29.6352800000  14.8882100000 
    169      1 0.4725000000 3.9945700000  18.3558200000  27.4522500000 
    170      1 0.4725000000 17.0372100000  21.9180100000  22.0752900000 
    171      1 0.4725000000 9.6607400000  11.6364000000  33.8736600000 
    172      1 0.4725000000 42.5668800000  1.7834200000  22.3723000000 
    173      1 0.4725000000 15.6102900000  28.9616400000  25.6216300000 
    174      1 0.4725000000 6.5856400000  2.7568300000  9.8484300000 
    175      1 0.4725000000 20.7978100000  13.4674900000  4.3314400000 
    176      1 0.4725000000 4.0645300000  35.1403500000  29.0774700000 
    177      1 0.4725000000 29.1886600000  8.2081800000  5.9334300000 
    178      1 0.4725000000 24.1728700000  7.6139900000  17.1184000000 
    179      1 0.4725000000 36.1345400000  19.1502500000  15.1055400000 
